"id","code","amount","user_id","created_at","updated_at"
1,"T_218_ljydmgebx",8617.19,375,"2020-01-19 16:08:59","2020-01-19 16:08:59"
2,"T_335_wmhrbjxld",6502.72,1847,"2020-01-19 16:08:59","2020-01-19 16:08:59"
3,"T_327_shqnyrctz",101.26,3031,"2020-01-19 16:08:59","2020-01-19 16:08:59"
4,"T_570_qtbdktdxn",5032.74,5441,"2020-01-19 16:08:59","2020-01-19 16:08:59"
5,"T_696_yruawfpis",2710.4,6019,"2020-01-19 16:08:59","2020-01-19 16:08:59"
6,"T_445_qxlmjdoas",9062.91,948,"2020-01-19 16:08:59","2020-01-19 16:08:59"
7,"T_836_ajvlpejea",3112.48,4369,"2020-01-19 16:08:59","2020-01-19 16:08:59"
8,"T_681_mefjlmzuz",6282.17,3814,"2020-01-19 16:08:59","2020-01-19 16:08:59"
9,"T_351_tfdmvutme",8380.54,1262,"2020-01-19 16:08:59","2020-01-19 16:08:59"
10,"T_271_hlixsoqta",8353.47,5395,"2020-01-19 16:08:59","2020-01-19 16:08:59"
11,"T_624_vmochibpg",6026.96,2632,"2020-01-19 16:08:59","2020-01-19 16:08:59"
12,"T_395_hguojrgdl",175.35,6968,"2020-01-19 16:08:59","2020-01-19 16:08:59"
13,"T_224_himeftdia",4889.66,3674,"2020-01-19 16:08:59","2020-01-19 16:08:59"
14,"T_894_ykmqjgdwo",4556.98,8540,"2020-01-19 16:08:59","2020-01-19 16:08:59"
15,"T_771_crijwmlhi",7464.33,7988,"2020-01-19 16:08:59","2020-01-19 16:08:59"
16,"T_141_dlkkwcvqi",4353.48,6776,"2020-01-19 16:08:59","2020-01-19 16:08:59"
17,"T_924_jporprlnq",1583.18,8976,"2020-01-19 16:08:59","2020-01-19 16:08:59"
18,"T_743_anyfqbtai",5752.01,6887,"2020-01-19 16:08:59","2020-01-19 16:08:59"
19,"T_922_aicbljcdw",1231.31,1916,"2020-01-19 16:08:59","2020-01-19 16:08:59"
20,"T_246_lvqdeoypx",8851.42,950,"2020-01-19 16:08:59","2020-01-19 16:08:59"
21,"T_096_hcsqzzvho",742.51,3412,"2020-01-19 16:08:59","2020-01-19 16:08:59"
22,"T_989_iarrgdtcq",119.97,9491,"2020-01-19 16:08:59","2020-01-19 16:08:59"
23,"T_763_htmagmnre",7976.47,6016,"2020-01-19 16:08:59","2020-01-19 16:08:59"
24,"T_752_mjbwdpcge",5976.13,449,"2020-01-19 16:08:59","2020-01-19 16:08:59"
25,"T_576_bylwniwho",8035.72,2515,"2020-01-19 16:08:59","2020-01-19 16:08:59"
26,"T_838_lenphejbj",5507.09,867,"2020-01-19 16:08:59","2020-01-19 16:08:59"
27,"T_126_jpffzmrnj",7510.11,6472,"2020-01-19 16:08:59","2020-01-19 16:08:59"
28,"T_654_fgrfdhrvt",6160,5167,"2020-01-19 16:08:59","2020-01-19 16:08:59"
29,"T_931_tvsksgtcs",8925.06,7766,"2020-01-19 16:08:59","2020-01-19 16:08:59"
30,"T_128_oopsjulgg",2465.76,6598,"2020-01-19 16:08:59","2020-01-19 16:08:59"
31,"T_716_elwcpchjp",1658.38,6149,"2020-01-19 16:08:59","2020-01-19 16:08:59"
32,"T_035_dihnlsrbi",5677.89,4457,"2020-01-19 16:08:59","2020-01-19 16:08:59"
33,"T_943_mlvxcuspl",2621.56,4934,"2020-01-19 16:08:59","2020-01-19 16:08:59"
34,"T_988_jjyaacsxc",7645.41,7121,"2020-01-19 16:08:59","2020-01-19 16:08:59"
35,"T_524_egtxfmlbc",4006.38,1420,"2020-01-19 16:08:59","2020-01-19 16:08:59"
36,"T_022_hsrqfsmja",3492.29,7091,"2020-01-19 16:08:59","2020-01-19 16:08:59"
37,"T_618_vouqdxemh",148.75,1838,"2020-01-19 16:08:59","2020-01-19 16:08:59"
38,"T_243_dhuskwtoh",2614.35,2974,"2020-01-19 16:08:59","2020-01-19 16:08:59"
39,"T_216_qorynonhk",3759.76,3534,"2020-01-19 16:08:59","2020-01-19 16:08:59"
40,"T_509_jpqmoqiaf",2297.97,5933,"2020-01-19 16:08:59","2020-01-19 16:08:59"
41,"T_516_wfxfzmvpp",3488.63,2467,"2020-01-19 16:08:59","2020-01-19 16:08:59"
42,"T_011_phzomfguw",9844.47,2485,"2020-01-19 16:08:59","2020-01-19 16:08:59"
43,"T_057_tpxymzluv",460.92,8538,"2020-01-19 16:08:59","2020-01-19 16:08:59"
44,"T_069_tmrvtochy",123.21,7966,"2020-01-19 16:08:59","2020-01-19 16:08:59"
45,"T_996_gmgduxuvt",5818.87,5412,"2020-01-19 16:08:59","2020-01-19 16:08:59"
46,"T_816_prvlpksih",2830.62,263,"2020-01-19 16:08:59","2020-01-19 16:08:59"
47,"T_875_pyuxmkgfk",3065.04,8113,"2020-01-19 16:08:59","2020-01-19 16:08:59"
48,"T_101_fjuxdjumr",2468.51,1756,"2020-01-19 16:08:59","2020-01-19 16:08:59"
49,"T_818_qnhiwtyyv",1077.57,9678,"2020-01-19 16:08:59","2020-01-19 16:08:59"
50,"T_631_deojxgntm",15.47,4032,"2020-01-19 16:08:59","2020-01-19 16:08:59"
51,"T_232_mavowvrci",2390.77,8511,"2020-01-19 16:08:59","2020-01-19 16:08:59"
52,"T_284_dxbashvbd",1265.71,8397,"2020-01-19 16:08:59","2020-01-19 16:08:59"
53,"T_817_ewniforqr",5159.5,2410,"2020-01-19 16:08:59","2020-01-19 16:08:59"
54,"T_132_uulxwnfvc",3398.81,1360,"2020-01-19 16:08:59","2020-01-19 16:08:59"
55,"T_819_enkzzkimt",2555.39,1984,"2020-01-19 16:08:59","2020-01-19 16:08:59"
56,"T_905_lejtvumsz",6903.98,942,"2020-01-19 16:08:59","2020-01-19 16:08:59"
57,"T_679_fedvlpgta",6064.82,8560,"2020-01-19 16:08:59","2020-01-19 16:08:59"
58,"T_184_fbteapfyy",9343.52,2025,"2020-01-19 16:08:59","2020-01-19 16:08:59"
59,"T_494_arbpsymku",6462.11,6095,"2020-01-19 16:08:59","2020-01-19 16:08:59"
60,"T_803_wyosijzjf",1676.39,6440,"2020-01-19 16:08:59","2020-01-19 16:08:59"
61,"T_300_ttqhpimht",5572.24,4134,"2020-01-19 16:08:59","2020-01-19 16:08:59"
62,"T_263_iobpsxzxa",2844.58,5729,"2020-01-19 16:08:59","2020-01-19 16:08:59"
63,"T_154_jdetfixgq",3885.1,3317,"2020-01-19 16:08:59","2020-01-19 16:08:59"
64,"T_666_qggzhlheg",5708.91,5211,"2020-01-19 16:08:59","2020-01-19 16:08:59"
65,"T_486_exsahbagp",342.5,824,"2020-01-19 16:08:59","2020-01-19 16:08:59"
66,"T_453_sekdfamvg",6874.26,5937,"2020-01-19 16:08:59","2020-01-19 16:08:59"
67,"T_373_ybyfrsiqz",2138.27,4604,"2020-01-19 16:08:59","2020-01-19 16:08:59"
68,"T_389_qmclahzhw",446.38,8619,"2020-01-19 16:08:59","2020-01-19 16:08:59"
69,"T_811_bdlggytjn",3366.74,9324,"2020-01-19 16:08:59","2020-01-19 16:08:59"
70,"T_700_niljtmoaa",9811.38,8654,"2020-01-19 16:08:59","2020-01-19 16:08:59"
71,"T_483_ajasuxzcr",8163.74,3801,"2020-01-19 16:08:59","2020-01-19 16:08:59"
72,"T_050_agtrqgynk",5132.55,5666,"2020-01-19 16:08:59","2020-01-19 16:08:59"
73,"T_630_ocmulkkjx",7838.68,8288,"2020-01-19 16:08:59","2020-01-19 16:08:59"
74,"T_907_zcceufqyj",5006.9,3369,"2020-01-19 16:08:59","2020-01-19 16:08:59"
75,"T_486_ogsgahzjw",4156.66,7076,"2020-01-19 16:08:59","2020-01-19 16:08:59"
76,"T_227_pkcwunxtr",8479.72,1764,"2020-01-19 16:08:59","2020-01-19 16:08:59"
77,"T_845_wzijrfdfx",6666.69,648,"2020-01-19 16:08:59","2020-01-19 16:08:59"
